Publisher ID,Name,PhoneNumber,StreetAddress
1,Wiley,(201) 555-1234,"123 Oak Street, Springfield, IL 62701"
2,Penguin,(415) 555-6789,"456 Maple Avenue, Lakeside, CA 92040"
3,HarperCollins,(713) 555-4321,"789 Pine Street, Mountainview, CO 80302"
4,Springer,(602) 555-9876,"321 Elm Drive, Rivertown, NY 10001"
5,Orient Blackswan,(305) 555-2345,"567 Cedar Lane, Ocean City, NJ 08226"
6,CRC,(817) 555-8901,"890 Birch Street, Hillcrest, TX 75001"
7,Apress,(917) 555-3456,"234 Walnut Avenue, Lakeside, FL 33510"
8,Random House,(312) 555-7890,"901 Spruce Court, Summitville, IN 46070"
9,Bodley Head,(503) 555-2109,"345 Pinecrest Road, Sunset Hills, MO 63128"
10,MIT Press,(404) 555-6543,"678 Oakwood Circle, Greenfield, MA 01301"
11,O'Reilly,(214) 555-0987,"123 Hickory Lane, Riverdale, GA 30274"
12,HBA,(718) 555-7612,"456 Sycamore Drive, Springfield, OH 45502"
13,Rupa,(832) 555-0987,"789 Birchwood Avenue, Lakeside, CA 92040"
14,Transworld,(925) 555-8901,"321 Maple Street, Hillcrest, TX 75001"
15,Pan,(615) 555-2345,"567 Cedar Lane, Ocean City, NJ 08226"
16,Hyperion,(727) 555-8765,"890 Willow Way, Rivertown, NY 10001"
17,Pocket,(786) 555-5432,"234 Pinecrest Road, Summitville, IN 46070"
18,Mauj,(919) 555-8765,"901 Elm Avenue, Mountainview, CO 80302"
19,BBC,(503) 555-2109,"345 Oak Street, Greenfield, MA 01301"
20,Elsevier,(818) 555-6543,"678 Pinecrest Road, Hillcrest, TX 75001"
21,Pearson,(312) 555-7890,"123 Cedar Lane, Springfield, OH 45502"
23,Prentice Hall,(602) 555-9876,"456 Elm Drive, Lakeside, FL 33510"
22,TMH,(917) 555-3456,"789 Oakwood Circle, Rivertown, NY 10001"
24,Picador,(214) 555-0987,"321 Birchwood Avenue, Mountainview, CO 80302"
25,vikas,(305) 555-2345,"567 Maple Street, Ocean City, NJ 08226"
26,Routledge,(818) 555-6543,"890 Willow Way, Lakeside, CA 92040"
27,FreePress,(925) 555-8901,"234 Pinecrest Road, Springfield, IL 62701"
28,Jaico,(615) 555-2345,"901 Hickory Lane, Hillcrest, TX 75001"
29,Vintage,(201) 555-1234,"345 Cedar Lane, Rivertown, NY 10001"
30,HighStakes,(832) 555-0987,"678 Elm Avenue, Summitville, IN 46070"
31,Simon&Schuster,(404) 555-6543,"123 Oak Street, Mountainview, CO 80302"
32,Fontana,(786) 555-5432,"456 Maple Avenue, Springfield, OH 45502"
33,Dell,(713) 555-4321,"789 Pine Street, Lakeside, FL 33510"
